Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Bill Lickert,1961,5,45,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Line,1950,4,45,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Livingston,2023,2,58,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Master,1984,6,127,,,,,,,,,,,,,,,,,,,,,,,,,
Don Mills,1960,18,97,,,,,,,,,,,,,,,,,,,,,,,,,
George Newman,"1960, 1961","6, 7","48, 64",,,,,,,,,,,,,,,,,,,,,,,,,
Tom Parker,1972,6,83,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Phillips,1978,3,45,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Prater,1953,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Pursiful,1962,8,63,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Shidler,1980,9,183,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck Verderber,1982,7,145,,,,,,,,,,,,,,,,,,,,,,,,,
Cason Wallace,2023,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
LaVon Williams,1980,5,101,,,,,,,,,,,,,,,,,,,,,,,,,
